Date,Close,chg(close),Low,chg(low),High,chg(high),MA,Exponential_Smoothing
2021-04-08 23:58:00,60.86,-0.38,60.3,0.19,61.13,-0.53,60.86,61.40002262766812
2021-04-09 23:58:00,60.76,-0.1,60.33,0.03,60.91,-0.22,60.76,60.75315820837576
2021-04-12 23:58:00,61.15,0.39,60.33,0.0,61.93,1.02,61.15,60.412694305226395
2021-04-13 23:58:00,61.66,0.51,61.25,0.92,61.94,0.01,61.66,61.38141193775745
2021-04-14 23:58:00,64.14,2.48,62.05,0.8,64.32,2.38,64.14,61.55457769421036
2021-04-15 23:58:00,64.21,0.07,63.6,1.55,64.31,-0.01,64.21,63.985748385616546
2021-04-16 23:58:00,64.02,-0.19,63.86,0.26,64.68,0.37,64.02,64.39266912056785
2021-04-19 23:58:00,64.08,0.06,63.64,-0.22,64.4,-0.28,64.08,64.22869553972282
2021-04-20 23:58:00,63.51,-0.57,62.66,-0.98,64.82,0.42,63.51,63.929629356051336
2021-04-21 23:58:00,62.5,-1.01,62.11,-0.55,63.26,-1.56,62.5,63.21013237275729
2021-04-22 23:58:00,62.65,0.15,61.99,-0.12,63.04,-0.22,62.65,62.89241617561775
2021-04-23 23:58:00,63.3,0.65,62.4,0.41,63.41,0.37,63.3,62.60253105256262
2021-04-26 23:58:00,63.12,-0.18,62.16,-0.24,63.37,-0.04,63.12,63.355752870926196
2021-04-27 23:58:00,63.93,0.81,63.13,0.97,64.19,0.82,63.93,63.35383723044702
2021-04-28 23:58:00,64.69,0.76,63.78,0.65,65.02,0.83,64.69,64.03315323093665
2021-04-29 23:58:00,65.61,0.92,64.83,1.05,65.94,0.92,65.61,64.45002571104736
2021-04-30 23:58:00,64.35,-1.26,64.0,-0.83,65.48,-0.46,64.35,65.13442683594248
2021-05-03 23:58:00,65.26,0.91,63.88,-0.12,65.34,-0.14,65.26,64.75068024250136
2021-05-04 23:58:00,66.52,1.26,65.3,1.42,66.84,1.5,66.52,65.12891250519071
2021-05-05 23:58:00,66.64,0.12,66.15,0.85,67.39,0.55,66.64,66.4985989458744
2021-05-06 23:58:00,65.97,-0.67,65.89,-0.26,67.0,-0.39,65.97,66.83188491539845
2021-05-07 23:58:00,66.37,0.4,65.4,-0.49,66.5,-0.5,66.37,66.23311294063586
2021-05-10 23:58:00,66.56,0.19,65.82,0.42,67.3,0.8,66.56,66.18786287909974
2021-05-11 23:58:00,66.95,0.39,65.59,-0.23,67.09,-0.21,66.95,66.17206106434273
2021-05-12 23:58:00,67.68,0.73,66.8,1.21,68.11,1.02,67.68,67.17689214528781
2021-05-13 23:58:00,65.46,-2.22,64.9,-1.9,67.28,-0.83,65.46,67.54960348150122
2021-05-14 23:58:00,66.63,1.17,64.98,0.08,66.72,-0.56,66.63,65.82576991327257
2021-05-17 23:58:00,67.23,0.6,66.34,1.36,67.3,0.58,67.23,66.74815582889708
2021-05-18 23:58:00,66.7,-0.53,65.67,-0.67,67.84,0.54,66.7,67.34364466255307
2021-05-19 23:58:00,64.79,-1.91,63.6,-2.07,66.2,-1.64,64.79,66.6046844979775
2021-05-20 23:58:00,63.65,-1.14,63.36,-0.24,65.14,-1.06,63.65,64.64530984880014
2021-05-21 23:58:00,64.85,1.2,63.3,-0.06,65.25,0.11,64.85,64.07413759261101
2021-05-24 23:58:00,66.74,1.89,65.27,1.97,66.87,1.62,66.74,64.68926391285704
2021-05-25 23:58:00,66.73,-0.01,66.76,1.49,66.76,-0.11,66.73,66.6452236372508
2021-05-26 23:58:00,66.98,0.25,66.24,-0.52,67.1,0.34,66.98,66.92818350036721
