Date,Close,Date,Close,,
8/4/2023 23:58:00,85.32,,,,
8/11/2023 23:58:00,85.59,,,,
8/18/2023 23:58:00,83.94,,,,
8/25/2023 23:58:00,83.56,,,,
9/1/2023 23:58:00,87.8,,,,
9/8/2023 23:58:00,90.03,,,,
9/15/2023 23:58:00,93.04,,,,
9/22/2023 23:58:00,91.96,,,,
9/29/2023 23:58:00,92.2,,,,
10/6/2023 23:58:00,84.58,,,,
10/13/2023 23:58:00,90.89,,,,
10/20/2023 23:58:00,92.16,,,,
10/27/2023 23:58:00,90.48,,,,
11/3/2023 23:58:00,84.89,,,,
11/10/2023 23:58:00,81.43,,,,
11/17/2023 23:58:00,80.61,,,,
11/24/2023 13:00:00,80.58,,,,
12/1/2023 23:58:00,78.88,,,,
12/8/2023 23:58:00,75.84,,,,
12/15/2023 23:58:00,77.03,,,,
12/22/2023 23:58:00,78.33,,,,
12/29/2023 23:58:00,76.64,,,,
1/5/2024 23:58:00,78.14,,,,
